order_id,courier_id,region_id,city,lng,lat,accept_time,delivery_time,delivery_duration_minutes,delivery_distance_km,previous_tasks,previous_accept_time,minutes_since_previous_accept,tasks_previous_1h,tasks_previous_3h,accept_hour,accept_minute,accept_day,accept_weekday,is_weekend,time_period,distance_group,ds
472199,75,53,Jilin,126.56609,43.81726,1900-05-13 18:20:00,1900-05-13 19:06:00,46.0,0.5914567863753537,0,,,0,0,18,20,13,6,1,Evening,0–1 km,513
3318650,75,53,Jilin,126.55311,43.83049,1900-05-16 08:15:00,1900-05-16 13:37:00,322.0,2.224923001390114,1,1900-05-13 18:20:00,3715.0,0,0,8,15,16,2,0,Morning,1–3 km,516
4494711,75,53,Jilin,126.55325,43.83057,1900-05-16 08:15:00,1900-05-16 11:50:00,215.0,1.622478421014505,2,1900-05-16 08:15:00,0.0,0,0,8,15,16,2,0,Morning,1–3 km,516
338836,75,53,Jilin,126.55389,43.82569,1900-05-16 08:17:00,1900-05-16 13:06:00,289.0,1.7996545314877148,3,1900-05-16 08:15:00,2.0,2,2,8,17,16,2,0,Morning,1–3 km,516
3027068,75,53,Jilin,126.55367,43.82193,1900-05-16 08:17:00,1900-05-16 12:14:00,237.0,1.5770750101609028,4,1900-05-16 08:17:00,0.0,2,2,8,17,16,2,0,Morning,1–3 km,516
3163418,75,53,Jilin,126.55276,43.82492,1900-05-16 08:17:00,1900-05-16 12:39:00,262.0,1.5532216264966816,5,1900-05-16 08:17:00,0.0,2,2,8,17,16,2,0,Morning,1–3 km,516
3606701,75,53,Jilin,126.55425,43.82457,1900-05-16 08:17:00,1900-05-16 13:11:00,294.0,1.7931890816203542,6,1900-05-16 08:17:00,0.0,2,2,8,17,16,2,0,Morning,1–3 km,516
4217656,75,53,Jilin,126.55399,43.82363,1900-05-16 08:17:00,1900-05-16 12:26:00,249.0,1.6293836904911814,7,1900-05-16 08:17:00,0.0,2,2,8,17,16,2,0,Morning,1–3 km,516
1098144,75,53,Jilin,126.56262,43.82697,1900-05-16 08:18:00,1900-05-16 11:39:00,201.0,1.7081886800468964,8,1900-05-16 08:17:00,1.0,7,7,8,18,16,2,0,Morning,1–3 km,516
2725169,75,53,Jilin,126.56055,43.82315,1900-05-16 08:18:00,1900-05-16 12:02:00,224.0,1.147558553770431,9,1900-05-16 08:18:00,0.0,7,7,8,18,16,2,0,Morning,1–3 km,516
2944460,75,53,Jilin,126.55794,43.82481,1900-05-16 08:18:00,1900-05-16 12:59:00,281.0,1.6168700355639318,10,1900-05-16 08:18:00,0.0,7,7,8,18,16,2,0,Morning,1–3 km,516
